filename,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
[Cd(L2)(1-4-NDC)]n_no_solvent,-4.682704584,3.455710558,2.706443505,-0.421853075,-0.665707112,-2.307569322,0.59122072,-2.409377371,0.988676824,-1.657267641,-1.438540846,0.362629432,-2.297961921,-0.801489949,-0.143604182,0.540980187,0.155766724,-0.438660378,-0.158245426,-1.167917557,-1.05720651,-0.252579099,0.651587592,1.729884516,0.26275602,1.612712007,0.225867036,0.009207991,0.444652062,0.227813477,0.285749555,0.051083266,-0.428489985,0.40370061,0.067016791,0.177399902,-0.327728216,0.430701604,-0.221302077,0.271809817,-0.384693429,0.215674919,0.012468589,0.076855032,-0.017136624,-0.059816635,-0.250724205,0.363326623,-0.193839467,-0.089174679,-0.089337608,-0.062051833,-0.219345734,-0.035634789,0.252243745,-0.010612315,-0.136252863,-0.24710527,-0.118073742,0.089204038
[Cd2(L1)(1-4-NDC)2]n_no_solvent,-2.477660003,-0.199923143,1.79498645,1.150158432,-0.261374017,-2.341964003,-0.326351465,-0.49008236,0.621697974,-0.793175917,-0.420915,0.708502875,-0.183052442,-0.332373787,-0.431762398,0.277914081,-0.242110541,-0.964520152,-0.47866993,-0.260668884,0.00495825,-0.799253685,0.193207757,1.247578509,-0.521027946,-0.8610938,0.605555042,0.15776686,0.187594773,-0.019837668,-0.036554086,-0.114097684,-0.320143011,-0.157560663,0.087648607,0.335194999,0.118675454,0.453565284,-0.03689489,0.443054649,-0.070572965,0.157418129,0.101832519,0.533344842,-0.225132697,0.057834905,0.193453549,0.172749137,0.045464886,0.019145733,-0.004202349,0.309031682,-0.076652987,0.054362138,0.024735524,-0.253659913,-0.189749434,-0.204814741,-0.069687933,-0.044449262
[Cd3(L)(H2O)4(OH)2]_no_solvent,0.596596161,-3.861907983,0.125578411,2.991162781,0.564497028,-2.107261163,-0.526994256,2.144376987,0.511221631,-0.1840624,1.263597995,-0.57264755,-0.569009636,-0.890770747,-0.847233601,0.306948373,0.074659353,-0.49343795,0.016710394,0.654316962,0.165177205,-0.185870241,0.006792785,0.643420384,-0.105333119,-0.47906277,0.053236826,0.050597225,0.738999968,0.546921483,0.040777022,0.175967661,-0.373516021,-0.648168302,-0.031528422,0.310141172,0.154416167,0.157252974,0.087027675,0.331697482,0.13543045,0.010624198,-0.286316643,-0.316838991,-0.150600242,0.394485108,0.140547803,0.01323021,-0.078804253,-0.026032811,0.188969328,0.08494246,0.164319905,-0.03002983,-0.022886235,0.111065016,0.013394772,-0.012053186,0.287414574,0.107677364
[Cd3Yb3L3(OH)3(OAc)6]_no_solvent,9.561383877,-1.780806889,-5.849408589,-1.288854037,-0.545810431,1.236063558,-2.455527143,0.217614743,-1.641291927,-1.821164743,-1.75711426,2.055596344,-0.467192,0.609889935,0.824984846,-2.171071272,1.492989922,0.196816994,0.313669081,-2.016272574,1.264477889,-0.588237584,-0.27194104,1.811948778,0.350439957,0.536619775,-0.444414375,0.296663186,0.860951934,0.274424185,-0.519144602,0.125544774,-0.483284349,0.190291961,-0.060004231,0.03093916,-0.394529461,0.494122592,0.012446862,0.178982873,-0.399852784,0.07645697,0.526651949,-0.736838713,0.180579141,0.309966937,-0.035994342,-0.219401836,0.081605706,-0.203626899,-0.076842074,0.067478436,0.220332994,0.189675325,0.287163814,-0.162454072,0.015402803,0.016099634,0.025343691,-0.143349336
[Dy(TCPB)(DMF)3]n_no_solvent,4.004342136,4.958470464,3.291048664,-0.093934844,3.281130731,-4.734108853,1.777355534,-3.41163218,-0.87692041,-2.699093758,-0.687800514,1.784759712,1.47757928,3.018178937,0.923558853,5.64534593,0.009029311,-2.61566635,-6.062791792,-2.990508856,-0.211479117,-1.342700277,-0.654792742,-0.645494385,0.624161033,-1.788427044,1.909356669,-0.198578409,-0.074236307,0.335685916,-0.379061126,0.04291976,0.620318517,0.225014471,0.195279407,-0.024773498,0.733502099,-0.006681926,-0.012698868,-0.658545597,0.364960703,-0.168316179,-0.021867555,0.005968665,-0.050192466,-0.257874537,0.515174283,-0.426425604,0.080414804,0.364856322,0.014773064,-0.06319617,0.092506444,-0.28564878,-0.352440395,-0.479378001,0.251978381,0.101592229,0.004774005,-0.12534313
[Sm(TCPB)(DMF)3]n_no_solvent,3.015383652,11.82709608,-3.292250739,-1.370631814,1.906336262,-8.985962503,-1.55548073,-2.585655108,-0.548768723,-3.494146599,-1.059076446,2.784601117,3.655159609,5.503838861,-2.012575729,9.854215324,0.201527552,-1.252191762,-0.666202021,0.724044925,5.057650496,0.411053516,-0.515140866,-1.011320565,0.43286567,0.237943851,-0.653014549,-0.697457851,0.257287223,-0.399615906,0.327303178,0.4523884,-0.720688569,0.877785053,-0.31766626,-1.477212085,-0.354663087,-0.204557799,0.872182033,-0.234338588,-1.233687946,-0.161259394,-0.179121902,0.057682904,1.075032743,0.403030508,-0.006045335,0.406924167,-0.150419378,0.036357857,0.546723162,0.142143175,0.107050234,0.497717195,0.353813688,-0.130051631,0.311458644,0.352047979,0.052179181,0.456682889
[Zn(L)0.5(NDC)]n_no_solvent,-3.71307449,-0.327984412,3.651327076,1.586888182,-0.88374305,-0.738260124,0.204583521,-2.131804874,0.27792237,-0.072592063,-0.976748334,0.852029157,-1.657092783,-2.473252695,-0.587844384,-0.570812158,0.222556161,-0.964469217,-0.003420086,-1.220952396,-1.084366289,0.398838532,-0.809032088,-0.135279372,0.012148255,-0.295851708,0.353861285,-0.070546462,0.231265776,-0.465269915,0.297100855,0.459142698,-0.253563561,0.133933139,-0.120681404,0.039158066,-0.082025161,0.018759327,-0.379662122,0.178970835,-0.523717312,0.1524663,0.218227543,-0.101327472,0.010098978,-0.064662072,0.098157643,0.112675809,-0.132696201,-0.011770856,-0.049094786,-0.010556412,0.027987222,-0.175908507,0.117428617,-0.043697509,-0.088979905,0.08117953,-0.222485615,0.122980994
[Zn(ZnOH)4(bibta)3]_no_solvent,-1.558085946,-4.330234425,-0.25237674,0.1604792,-3.102125091,1.792900968,0.819221927,0.60841095,2.996490584,1.774487923,-1.90366321,-2.16787987,0.170885119,1.30192778,0.729093773,0.516881397,-0.737750331,-0.439458276,0.688466772,-0.048514809,-0.302811374,-0.907514657,0.84087535,-0.091417564,-0.519413096,-0.372614881,0.036619738,-0.647408318,-0.187138211,-0.233289433,0.393010657,-0.100678477,-0.120587743,-0.106494281,0.117796769,-0.2616256,0.168604813,-0.068352596,-0.373136476,0.216281974,-0.059883582,-0.211687976,0.006055034,-0.214275314,-0.004553892,0.173041483,0.063177417,-0.022742428,-0.037873618,-0.016180926,-0.204910207,0.094669247,0.02548518,0.0094375,0.06460708,0.088004407,-0.138057416,-0.127332075,-0.121017338,0.193930613
[ZnYbL(OAc)3]_no_solvent,2.34410673,-2.471549814,-1.455567123,0.998099623,-1.901639109,-1.033885586,0.981042588,0.993853697,1.621673952,-2.046149508,-0.004864116,2.024479321,0.454285309,2.098571033,1.578435119,0.309386573,1.098055922,0.848878099,-0.022045714,-0.666375582,0.429917878,0.372028273,0.799118277,-0.344340264,0.889482532,-0.096726121,-0.082754176,-0.152195649,-0.178017606,0.454223703,0.015634215,0.656944986,0.339092076,0.27347775,0.062131073,-0.108795147,-0.269193425,0.300869854,-0.582246389,0.214340914,-0.432245683,-0.494132267,0.012842373,-0.128324579,0.000717594,0.434894221,0.433291418,-0.089778563,0.128307657,-0.01670499,-0.377225823,-0.282472142,-0.013948285,-0.002586739,-0.109752339,0.033850154,0.337719997,0.179904317,0.050675003,-0.268051272
1538770_no_solvent,-3.376676028,0.818122116,2.663144889,-1.205490032,-0.632206123,-0.865113943,1.345454573,-1.350356909,-0.734107586,0.395192589,0.219316592,-0.17872342,0.406042917,-0.217965943,-0.833593542,0.452829602,0.908580381,0.683951917,1.315944374,0.487030562,1.807534418,0.678788306,-1.040717621,-1.211881192,0.278577492,0.262467809,-0.737079421,-0.520687661,0.22327311,-0.853954337,-0.036599923,0.235402713,-0.458244796,0.142984508,0.587163053,-0.076869752,0.188770016,-0.404966626,-0.06142364,0.304146209,-0.322600847,0.489173977,0.077203745,0.232529406,-0.046318891,0.219777455,0.097574512,-0.128170221,0.133735696,0.164083699,-0.022512618,0.220214512,0.057632253,-0.136800524,-0.079537254,0.107399688,0.028441287,-0.089173568,-0.129570019,-0.061865566
